"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2024","59,385.1","62,233.2","65,780.0","56,104.5","0.21K","-4.61%"
"03/31/2024","62,257.1","62,785.5","63,992.6","58,601.0","0.17K","-0.84%"
"03/24/2024","62,785.5","57,578.6","64,850.0","57,432.5","0.29K","9.04%"
"03/17/2024","57,578.6","57,768.2","60,800.0","54,105.0","0.31K","-0.41%"
"03/10/2024","57,815.3","59,958.6","64,750.0","57,369.3","0.40K","-3.58%"
"03/03/2024","59,959.0","54,854.1","61,200.0","51,941.2","0.35K","9.31%"
"02/25/2024","54,854.1","45,483.7","56,240.0","44,902.4","0.41K","20.60%"
"02/18/2024","45,483.7","45,539.3","46,590.0","44,631.2","0.13K","-0.12%"
"02/11/2024","45,539.3","41,756.8","46,529.2","41,633.2","0.23K","9.06%"
"02/04/2024","41,757.1","37,325.2","42,040.0","36,729.9","0.20K","11.87%"
"01/28/2024","37,325.1","36,493.5","37,840.0","36,115.6","0.14K","2.28%"
"01/21/2024","36,493.5","36,236.2","36,500.0","33,558.5","0.26K","0.71%"
"01/14/2024","36,236.2","36,521.3","37,562.3","35,071.3","0.16K","-0.78%"
"01/07/2024","36,521.3","37,523.0","41,978.8","35,545.1","0.64K","-2.67%"
"12/31/2023","37,523.0","35,525.0","38,887.9","35,126.8","0.24K","5.62%"
"12/24/2023","35,525.0","37,578.4","37,750.0","34,600.0","0.21K","-5.46%"
"12/17/2023","37,578.4","36,867.7","38,150.0","35,233.0","0.25K","1.93%"
"12/10/2023","36,867.7","38,560.3","38,750.0","35,300.0","0.24K","-4.39%"
"12/03/2023","38,558.6","34,342.7","39,349.9","34,211.1","0.29K","12.28%"
"11/26/2023","34,342.7","33,432.6","34,488.0","32,388.0","0.23K","2.72%"
"11/19/2023","33,432.6","32,547.4","33,750.0","31,562.7","0.23K","2.72%"
"11/12/2023","32,547.4","33,605.9","33,791.9","31,200.0","0.21K","-3.15%"
"11/05/2023","33,605.9","31,624.6","34,197.2","31,115.1","0.29K","6.27%"
"10/29/2023","31,624.6","30,814.3","32,500.0","30,699.5","0.26K","2.63%"
